TYPE,AGE,RACE,FAMSIZE,HISTORIC,START_YEAR,END_YEAR,REHABTOTAL,FY_COMPLT,PARCEL_ID
RENTAL,51,12 - BLACK/AFRICAN AMER,,1,09/11,07/11,22625,FY12,377
SF,48,11 - WHITE,1,0,04/11,11/11,27255,FY12,1018
SF,55,11 - WHITE,1,0,04/11,11/11,15335,FY12,779
SF,31,12 - BLACK/AFRICAN AMER,2,0,09/11,11/11,0,FY12,178
SF,33,11 - WHITE,2,0,08/11,11/11,0,FY12,732
RENTAL,59,12 - BLACK/AFRICAN AMER,,1,01/11,10/11,21050,FY12,209
SF,84,12 - BLACK/AFRICAN AMER,1,1,02/11,11/11,24635,FY12,469
SF,28,12 - BLACK/AFRICAN AMER,1,0,06/09,06/09,0,FY09,856
SF,35,11 - WHITE,3,0,03/08,06/09,30315,FY09,271
RENTAL,48,11 - WHITE,,0,04/14,08/14,11144,FY15,102
RENTAL,64,13 - ASIAN,,1,11/13,07/14,12442,FY15,430
RENTAL,61,13 - ASIAN,,1,10/13,08/14,14500,FY15,431
SF,,0 - NON-PROFIT,,0,06/12,07/13,120468,FY14,1049
RENTAL,84,11 - WHITE,,1,07/11,06/12,42782,FY12,194
SF,26,11 - WHITE,1,0,05/12,06/12,0,FY12,74
SF,44,12 - BLACK/AFRICAN AMER,4,0,01/10,01/10,0,FY10,42
RENTAL,52,12 - BLACK/AFRICAN AMER,,0,03/11,02/12,15080,FY12,506
SF,55,11 - WHITE,2,0,01/08,05/08,41076,FY08,123
RENTAL,35,18 - BLACK/AF AM & WHITE,,0,08/13,01/13,710,FY13,676
RENTAL,40,11 - WHITE,0,1,09/08,06/09,17124,FY09,580
SF,54,11 - WHITE,2,0,10/08,11/08,3537,FY09,970
SF,33,12 - BLACK/AFRICAN AMER,1,0,06/08,07/08,5605,FY09,8
SF,44,20 - OTHER MULTI-RACIAL,1,0,08/13,10/13,13690,FY14,291
RENTAL,0,11 - WHITE,0,1,12/08,06/09,675,FY09,370
SF,0,0 - NON-PROFIT,0,0,06/09,10/10,141700.78125,FY11,465
SF,46,11 - WHITE,1,0,06/07,10/08,0,FY09,596
SF,58,11 - WHITE,1,0,06/09,06/09,0,FY09,96
SF,19,11 - WHITE,1,0,07/12,09/12,0,FY13,906
RENTAL,69,11 - WHITE,,0,09/14,06/13,8167,FY13,354
SF,,0 - NON-PROFIT,,0,02/12,07/13,12342.4404296875,FY14,1046
SF,29,11 - WHITE,1,0,06/13,07/13,0,FY14,273
SF,85,12 - BLACK/AFRICAN AMER,2,0,05/07,07/07,30506,FY08,519
RENTAL,,11 - WHITE,0,1,05/08,06/08,750,FY08,218
SF,31,11 - WHITE,4,1,04/08,08/08,15355,FY09,456
RENTAL,0,11 - WHITE,0,0,04/10,07/10,12300,FY11,662
RENTAL,0,11 - WHITE,0,0,05/08,07/08,375,FY09,613
RENTAL,0,11 - WHITE,0,0,05/08,06/08,375,FY08,745
SF,55,11 - WHITE,2,0,01/10,06/10,25993,FY10,985
RENTAL,,0 - NON-PROFIT,0,0,08/09,12/09,1450,FY10,941
RENTAL,43,11 - WHITE,0,1,06/09,12/09,6769,FY10,216
RENTAL,33,11 - WHITE,0,0,05/09,12/09,13130,FY10,632
SF,22,11 - WHITE,1,0,05/08,05/08,0,FY08,778
RENTAL,0,11 - WHITE,0,0,04/10,08/10,24795,FY11,653
RENTAL,0,11 - WHITE,0,1,05/08,08/08,975,FY09,222
RENTAL,0,11 - WHITE,0,1,05/08,08/08,975,FY09,223
RENTAL,0,11 - WHITE,0,0,05/08,06/08,375,FY08,777
SF,42,11 - WHITE,3,0,02/08,03/08,6564,FY08,1009
SF,26,11 - WHITE,2,0,08/13,08/13,0,FY14,819
SF,21,11 - WHITE,2,1,11/12,08/13,27912,FY14,352
SF,56,11 - WHITE,1,0,08/12,09/13,0,FY14,934
SF,26,20 - OTHER MULTI-RACIAL,1,0,07/13,08/13,0,FY14,917
RENTAL,,11 - WHITE,0,1,12/07,03/08,750,FY08,494
RENTAL,,11 - WHITE,0,0,05/08,07/08,375,FY09,664
SF,30,11 - WHITE,4,0,10/09,11/09,0,FY10,980
SF,63,11 - WHITE,,1,11/12,06/13,8355,FY13,198
SF,27,11 - WHITE,4,0,03/13,06/13,0,FY13,984
RENTAL,41,11 - WHITE,0,0,08/12,06/13,11934,FY13,315
SF,0,0,0,0,05/12,08/13,100422,FY14,819
SF,35,13 - ASIAN,6,0,07/13,07/13,0,FY13,513
RENTAL,53,11 - WHITE,,0,06/12,09/12,355,FY13,637
SF,0,0 - NON-PROFIT,,0,07/09,09/12,107897.8984375,FY13,906
RENTAL,50,13 - ASIAN,,0,08/12,09/12,710,FY13,1026
SF,34,11 - WHITE,2,0,05/12,07/13,20570,FY14,860
SF,46,11 - WHITE,1,0,12/08,04/09,3865,FY09,128
SF,,0 - NON-PROFIT,,0,09/12,04/14,63544.41015625,FY14,1045
SF,53,12 - BLACK/AFRICAN AMER,2,0,07/13,12/13,0,FY13,557
SF,60,11 - WHITE,1,0,07/13,06/14,23498,FY14,799
SF,56,11 - WHITE,1,0,04/08,11/08,17895,FY09,256
RENTAL,62,11 - WHITE,1,0,06/08,11/08,18112,FY09,285
SF,48,11 - WHITE,3,0,05/08,11/08,450,FY09,788
RENTAL,,NONE,,0,05/08,06/08,375,FY08,1
SF,54,12 - BLACK/AFRICAN AMER,2,1,05/07,05/07,22970,FY07,498
SF,46,12 - BLACK/AFRICAN AMER,1,0,07/09,07/09,0,FY10,887
SF,42,12 - BLACK/AFRICAN AMER,3,0,05/09,05/09,0,FY09,590
SF,29,11 - WHITE,2,0,03/09,04/09,0,FY09,393
RENTAL,54,12 - BLACK/AFRICAN AMER,,1,10/12,06/13,21060,FY13,231
RENTAL,75,11 - WHITE,,0,05/12,01/13,8196,FY13,617
SF,45,20 - OTHER MULTI-RACIAL,12,0,03/12,06/12,0,FY12,1058
RENTAL,52,11 - WHITE,0,0,08/09,12/09,7885,FY10,767
RENTAL,37,11 - WHITE,0,1,06/09,01/10,7140,FY10,709
RENTAL,27,11 - WHITE,0,0,06/09,12/09,3970,FY10,85
SF,32,11 - WHITE,6,0,05/09,01/10,43360,FY10,313
SF,30,11 - WHITE,2,0,11/09,11/09,0,FY10,1094
SF,,0 - NON-PROFIT,,0,07/13,06/13,78005.5,FY14,711
SF,22,11 - WHITE,1,0,06/14,07/14,,FY15,1068
SF,0,0 - NON-PROFIT,,0,07/13,07/14,42413.8984375,FY15,1068
SF,30,11 - WHITE,4,0,06/13,08/14,0,FY15,566
